"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 28 countries","1998","Males","Number","236.521.111"
"Total","European Union - 28 countries","1998","Females","Number","249.356.447"
"Total","European Union - 28 countries","1999","Total","Number","486.577.954"
"Total","European Union - 28 countries","1999","Males","Number","236.863.781"
"Total","European Union - 28 countries","1999","Females","Number","249.714.173"
"Total","European Union - 28 countries","2000","Total","Number","487.259.080"
"Total","European Union - 28 countries","2000","Males","Number","237.162.921"
"Total","European Union - 28 countries","2000","Females","Number","250.096.159"
"Total","European Union - 28 countries","2001","Total","Number","488.240.527"
"Total","European Union - 28 countries","2001","Males","Number","237.660.548"
"Total","European Union - 28 countries","2001","Females","Number","250.579.979"
"Total","European Union - 28 countries","2002","Total","Number","488.962.706"
"Total","European Union - 28 countries","2002","Males","Number","238.080.874"
"Total","European Union - 28 countries","2002","Females","Number","250.881.832"
"Total","European Union - 28 countries","2003","Total","Number","490.691.578"
"Total","European Union - 28 countries","2003","Males","Number","238.965.145"
"Total","European Union - 28 countries","2003","Females","Number","251.726.433"
"Total","European Union - 28 countries","2004","Total","Number","492.555.798"
"Total","European Union - 28 countries","2004","Males","Number","239.930.825"
"Total","European Union - 28 countries","2004","Females","Number","252.624.973"
"Total","European Union - 28 countries","2005","Total","Number","494.598.322"
"Total","European Union - 28 countries","2005","Males","Number","240.994.246"
"Total","European Union - 28 countries","2005","Females","Number","253.604.076"
"Total","European Union - 28 countries","2006","Total","Number","496.436.597"
"Total","European Union - 28 countries","2006","Males","Number","241.952.062"
"Total","European Union - 28 countries","2006","Females","Number","254.484.535"
"Total","European Union - 28 countries","2007","Total","Number","498.300.775"
"Total","European Union - 28 countries","2007","Males","Number","242.934.295"
"Total","European Union - 28 countries","2007","Females","Number","255.366.480"
"Total","European Union - 28 countries","2008","Total","Number","500.297.033"
"Total","European Union - 28 countries","2008","Males","Number","243.990.548"
"Total","European Union - 28 countries","2008","Females","Number","256.306.485"
"Total","European Union - 28 countries","2009","Total","Number","502.090.235"
"Total","European Union - 28 countries","2009","Males","Number","244.911.802"
"Total","European Union - 28 countries","2009","Females","Number","257.178.433"
"Total","European Union - 28 countries","2010","Total","Number","503.170.618"
"Total","European Union - 28 countries","2010","Males","Number","245.499.963"
"Total","European Union - 28 countries","2010","Females","Number","257.670.655"
"Total","European Union - 28 countries","2011","Total","Number","502.964.837"
"Total","European Union - 28 countries","2011","Males","Number","245.185.293"
"Total","European Union - 28 countries","2011","Females","Number","257.779.544"
"Total","European Union - 28 countries","2012","Total","Number","504.047.964"
"Total","European Union - 28 countries","2012","Males","Number","245.752.856"
"Total","European Union - 28 countries","2012","Females","Number","258.295.108"
"Total","European Union - 28 countries","2013","Total","Number","505.163.008"
"Total","European Union - 28 countries","2013","Males","Number","246.381.670"
"Total","European Union - 28 countries","2013","Females","Number","258.781.338"
"Total","European Union - 28 countries","2014","Total","Number","507.235.091"
"Total","European Union - 28 countries","2014","Males","Number","247.510.650"
"Total","European Union - 28 countries","2014","Females","Number","259.724.441"
"Total","European Union - 28 countries","2015","Total","Number","508.520.205"
"Total","European Union - 28 countries","2015","Males","Number","248.218.983"
"Total","European Union - 28 countries","2015","Females","Number","260.301.222"
"Total","European Union - 28 countries","2016","Total","Number","510.181.874"
"Total","European Union - 28 countries","2016","Males","Number","249.295.415"
"Total","European Union - 28 countries","2016","Females","Number","260.886.459"
"Total","European Union - 28 countries","2017","Total","Number","511.373.278"
"Total","European Union - 28 countries","2017","Males","Number","249.969.250"
"Total","European Union - 28 countries","2017","Females","Number","261.404.028"
"Total","European Union - 28 countries","2018","Total","Number","512.379.225"
"Total","European Union - 28 countries","2018","Males","Number","250.546.983"
"Total","European Union - 28 countries","2018","Females","Number","261.832.242"
"Total","European Union - 27 countries (2007-2013)","1960","Total","Number","402.604.332"
"Total","European Union - 27 countries (2007-2013)","1960","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1960","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1961","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1961","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1961","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1962","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1962","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1962","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1963","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1963","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1963","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1964","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1964","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1964","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1965","Total","Number","420.454.977"
"Total","European Union - 27 countries (2007-2013)","1965","Males","Number",":"
"Total","European Union - 27 countries (2007-2013)","1965","Females","Number",":"
"Total","European Union - 27 countries (2007-2013)","1966","Total","Number",":"
"Total","European Union - 27 countries (2007-2013)","1966","Males","Number",":"
