"";"Drzava";"Leto";"Stevilo.prebivalcev"
"937";"Ukraine";2002;48240902
"938";"Ukraine";2003;47823108
"939";"Ukraine";2004;47442079
"940";"Ukraine";2005;47100462
"941";"Ukraine";2006;46749170
"942";"Ukraine";2007;46465691
"943";"Ukraine";2008;46192309
"944";"Ukraine";2009;45963359
"945";"Ukraine";2010;45782592
"946";"Ukraine";2011;45598179
"947";"Ukraine";2012;45453282
"948";"Ukraine";2013;45372692
"949";"Ukraine";2014;45245894
"950";"Ukraine";2015;42759661
"951";"Ukraine";2016;42590879
"952";"Ukraine";2017;42414905
"953";"Armenia";2000;3226900
"954";"Armenia";2001;3215300
"955";"Armenia";2002;3212900
"956";"Armenia";2003;3210300
"957";"Armenia";2004;3212200
"958";"Armenia";2005;3215800
"959";"Armenia";2006;3219234
"960";"Armenia";2007;3222953
"961";"Armenia";2008;3230086
"962";"Armenia";2009;3237976
"963";"Armenia";2010;3249482
"964";"Armenia";2011;3262650
"965";"Armenia";2012;3274285
"966";"Armenia";2015;3010598
"967";"Armenia";2016;2998577
"968";"Armenia";2017;2986151
"969";"Azerbaijan";2000;8016200
"970";"Azerbaijan";2001;8081000
"971";"Azerbaijan";2002;8141400
"972";"Azerbaijan";2003;8202500
"973";"Azerbaijan";2004;8265700
"974";"Azerbaijan";2005;8347300
"975";"Azerbaijan";2006;8436400
"976";"Azerbaijan";2007;8532700
"977";"Azerbaijan";2008;8629900
"978";"Azerbaijan";2009;8896900
"979";"Azerbaijan";2010;8997586
"980";"Azerbaijan";2011;9111078
"981";"Azerbaijan";2012;9235085
"982";"Azerbaijan";2013;9356483
"983";"Azerbaijan";2014;9477119
"984";"Azerbaijan";2015;9593038
"985";"Azerbaijan";2016;9705643
"986";"Azerbaijan";2017;9809981
"987";"Georgia";2000;4435200
"988";"Georgia";2001;4401400
"989";"Georgia";2002;4371500
"990";"Georgia";2003;4352600
"991";"Georgia";2004;4315200
"992";"Georgia";2005;4321500
"993";"Georgia";2006;4401292
"994";"Georgia";2007;4394702
"995";"Georgia";2008;4382070
"996";"Georgia";2009;4385429
"997";"Georgia";2010;4436391
"998";"Georgia";2011;4469250
"999";"Georgia";2012;4497617
"1000";"Georgia";2014;4490498
"1001";"Georgia";2015;3729500
"1002";"Georgia";2016;3720400
"1003";"Georgia";2017;3718200
