"";"Drzava";"Leto";"Dolg"
"168";"Spain";1999;362223
"169";"Spain";2000;374557
"170";"Spain";2001;378883
"171";"Spain";2002;384145
"172";"Spain";2003;382775
"173";"Spain";2004;389888
"174";"Spain";2005;393479
"175";"Spain";2006;392132
"176";"Spain";2007;384662
"177";"Spain";2008;440621
"178";"Spain";2009;569535
"179";"Spain";2010;650079
"180";"Spain";2011;744323
"181";"Spain";2012;891502
"182";"Spain";2013;979031
"183";"Spain";2014;1041624
"184";"Spain";2015;1073934
"185";"Spain";2016;1107220
"186";"Spain";2017;1144425
"187";"Spain";2018;1173107
"188";"France";1998;829353
"189";"France";1999;847555
"190";"France";2000;870626
"191";"France";2001;897446
"192";"France";2002;956794
"193";"France";2003;1050356
"194";"France";2004;1123615
"195";"France";2005;1189919
"196";"France";2006;1194106
"197";"France";2007;1252867
"198";"France";2008;1370326
"199";"France";2009;1607983
"200";"France";2010;1701122
"201";"France";2011;1807957
"202";"France";2012;1892540
"203";"France";2013;1977734
"204";"France";2014;2039884
"205";"France";2015;2101255
"206";"France";2016;2188481
"207";"France";2017;2258656
"208";"France";2018;2315298
"209";"Croatia";1998;5048,8
"210";"Croatia";1999;6294,4
"211";"Croatia";2000;8441
"212";"Croatia";2001;9642,3
"213";"Croatia";2002;10359,5
"214";"Croatia";2003;11582,1
"215";"Croatia";2004;13166,8
"216";"Croatia";2005;15065,5
"217";"Croatia";2006;15467,8
"218";"Croatia";2007;16389,5
"219";"Croatia";2008;18438,4
"220";"Croatia";2009;21923,7
"221";"Croatia";2010;25566,4
"222";"Croatia";2011;28257,1
"223";"Croatia";2012;30417,4
"224";"Croatia";2013;34977,1
"225";"Croatia";2014;36366,3
"226";"Croatia";2015;37231,3
"227";"Croatia";2016;37404,4
"228";"Croatia";2017;38214,5
"229";"Croatia";2018;38407,3
"230";"Italy";1998;1258222,6
"231";"Italy";1999;1285054,1
"232";"Italy";2000;1302668,7
"233";"Italy";2001;1360291,5
"234";"Italy";2002;1371769,8
"235";"Italy";2003;1397472,4
"236";"Italy";2004;1449660,9
"237";"Italy";2005;1518670
"238";"Italy";2006;1588074
"239";"Italy";2007;1606203,2
"240";"Italy";2008;1671450,6
"241";"Italy";2009;1770229,8
"242";"Italy";2010;1851813
"243";"Italy";2011;1907996,3
"244";"Italy";2012;1990140,4
"245";"Italy";2013;2070269,9
"246";"Italy";2014;2137333,2
"247";"Italy";2015;2173428
"248";"Italy";2016;2220369,6
"249";"Italy";2017;2269009,9
"250";"Italy";2018;2321956,9
"251";"Cyprus";1998;5073,9
"252";"Cyprus";1999;5509,9
"253";"Cyprus";2000;6024,4
"254";"Cyprus";2001;6660,8
"255";"Cyprus";2002;7339,8
"256";"Cyprus";2003;8184,8
"257";"Cyprus";2004;9055,8
"258";"Cyprus";2005;9595,8
"259";"Cyprus";2006;9597,7
"260";"Cyprus";2007;9461,8
"261";"Cyprus";2008;8658,6
"262";"Cyprus";2009;10139
"263";"Cyprus";2010;10953,7
"264";"Cyprus";2011;13057,9
"265";"Cyprus";2012;15618,4
"266";"Cyprus";2013;18706,4
"267";"Cyprus";2014;19013,8
"268";"Cyprus";2015;19164
"269";"Cyprus";2016;19509,2
"270";"Cyprus";2017;18814,1
"271";"Cyprus";2018;21258,1
"272";"Latvia";1998;574,5
"273";"Latvia";1999;904,6
"274";"Latvia";2000;1011
"275";"Latvia";2001;1304,4
"276";"Latvia";2002;1251,5
"277";"Latvia";2003;1370,5
"278";"Latvia";2004;1561,7
"279";"Latvia";2005;1566,8
"280";"Latvia";2006;1647,7
"281";"Latvia";2007;1834,6
"282";"Latvia";2008;4392,4
"283";"Latvia";2009;6767,7
"284";"Latvia";2010;8414,2
"285";"Latvia";2011;8795,7
"286";"Latvia";2012;9178,3
"287";"Latvia";2013;8984,4
"288";"Latvia";2014;9668,5
"289";"Latvia";2015;8953,3
"290";"Latvia";2016;10091,6
"291";"Latvia";2017;10806,8
"292";"Latvia";2018;10608
"293";"Lithuania";1998;1593,4
"294";"Lithuania";1999;2480,4
"295";"Lithuania";2000;2912,1
"296";"Lithuania";2001;3185,2
"297";"Lithuania";2002;3365,7
"298";"Lithuania";2003;3395,1
"299";"Lithuania";2004;3404,5
"300";"Lithuania";2005;3701,9
"301";"Lithuania";2006;4151,9
"302";"Lithuania";2007;4609,7
"303";"Lithuania";2008;4762,1
"304";"Lithuania";2009;7528,5
"305";"Lithuania";2010;10150,4
"306";"Lithuania";2011;11629,2
"307";"Lithuania";2012;13264,1
"308";"Lithuania";2013;13550,6
"309";"Lithuania";2014;14827,1
"310";"Lithuania";2015;15940,2
"311";"Lithuania";2016;15524,5
"312";"Lithuania";2017;16625,1
"313";"Lithuania";2018;15416,6
"314";"Luxembourg";2000;1672,2
"315";"Luxembourg";2001;1736,6
"316";"Luxembourg";2002;1768,3
"317";"Luxembourg";2003;1817,9
"318";"Luxembourg";2004;2051,9
"319";"Luxembourg";2005;2217,1
"320";"Luxembourg";2006;2630,1
"321";"Luxembourg";2007;2868,2
"322";"Luxembourg";2008;5684,6
"323";"Luxembourg";2009;5815,7
"324";"Luxembourg";2010;7951
"325";"Luxembourg";2011;8074,5
"326";"Luxembourg";2012;9699,7
"327";"Luxembourg";2013;11009,6
"328";"Luxembourg";2014;11330,5
"329";"Luxembourg";2015;11446,9
"330";"Luxembourg";2016;11024,4
"331";"Luxembourg";2017;12697,1
"332";"Luxembourg";2018;12586,6
"333";"Hungary";1998;24904
"334";"Hungary";1999;27438,8
"335";"Hungary";2000;27839,9
"336";"Hungary";2001;32661,1
"337";"Hungary";2002;40869,2
"338";"Hungary";2003;42204
"339";"Hungary";2004;50371,4
"340";"Hungary";2005;53955,7
"341";"Hungary";2006;62101
"342";"Hungary";2007;66264,6
"343";"Hungary";2008;72986,9
"344";"Hungary";2009;76064,7
"345";"Hungary";2010;78601,9
"346";"Hungary";2011;72415,5
"347";"Hungary";2012;77169,5
"348";"Hungary";2013;78593,2
"349";"Hungary";2014;79195,2
"350";"Hungary";2015;83443,1
"351";"Hungary";2016;87038,6
"352";"Hungary";2017;90735,7
"353";"Hungary";2018;92861,2
"354";"Malta";1998;1790,2
"355";"Malta";1999;2441,8
"356";"Malta";2000;2654
"357";"Malta";2001;2989,2
"358";"Malta";2002;2927,3
"359";"Malta";2003;3267,4
"360";"Malta";2004;3449,6
"361";"Malta";2005;3606,4
"362";"Malta";2006;3472,9
"363";"Malta";2007;3584,6
"364";"Malta";2008;3837
"365";"Malta";2009;4152,7
"366";"Malta";2010;4452,1
"367";"Malta";2011;4796,6
"368";"Malta";2012;4855,1
"369";"Malta";2013;5226,6
"370";"Malta";2014;5390
"371";"Malta";2015;5586,2
"372";"Malta";2016;5739,9
"373";"Malta";2017;5682,6
"374";"Malta";2018;5664,7
"375";"Netherlands";1998;247173
"376";"Netherlands";1999;245746
"377";"Netherlands";2000;235427
"378";"Netherlands";2001;238329
"379";"Netherlands";2002;244564
"380";"Netherlands";2003;256381
"381";"Netherlands";2004;266230
"382";"Netherlands";2005;274420
"383";"Netherlands";2006;264268
"384";"Netherlands";2007;266215
"385";"Netherlands";2008;354022
"386";"Netherlands";2009;354795
"387";"Netherlands";2010;378789
"388";"Netherlands";2011;401269
"389";"Netherlands";2012;432428
"390";"Netherlands";2013;446944
"391";"Netherlands";2014;455706
"392";"Netherlands";2015;446058
"393";"Netherlands";2016;438418
"394";"Netherlands";2017;419778
"395";"Netherlands";2018;405428
"396";"Austria";1998;125384,9
"397";"Austria";1999;135949
"398";"Austria";2000;141245,5
"399";"Austria";2001;147154,2
"400";"Austria";2002;151295,9
"401";"Austria";2003;152688,1
"402";"Austria";2004;157985,4
"403";"Austria";2005;174403,5
"404";"Austria";2006;180270
"405";"Austria";2007;184674,5
"406";"Austria";2008;201809,9
"407";"Austria";2009;230014,6
"408";"Austria";2010;244696,8
"409";"Austria";2011;255683,8
"410";"Austria";2012;261040,8
"411";"Austria";2013;263229,5
"412";"Austria";2014;280001
"413";"Austria";2015;291687,7
"414";"Austria";2016;295611,9
"415";"Austria";2017;289253,2
"416";"Austria";2018;284758,3
"417";"Poland";1998;56959
"418";"Poland";1999;63105,5
"419";"Poland";2000;70735,4
"420";"Poland";2001;83306,4
"421";"Poland";2002;84224,1
"422";"Poland";2003;83817,2
"423";"Poland";2004;102896,8
"424";"Poland";2005;119167,1
"425";"Poland";2006;131104,4
"426";"Poland";2007;145930,2
"427";"Poland";2008;143344,2
"428";"Poland";2009;165264,5
"429";"Poland";2010;193168,3
"430";"Poland";2011;190154,3
"431";"Poland";2012;214840,5
"432";"Poland";2013;222120,4
"433";"Poland";2014;202973,2
"434";"Poland";2015;216529,2
"435";"Poland";2016;228840,9
"436";"Poland";2017;240776,2
"437";"Poland";2018;240470,1
"438";"Portugal";1998;57727,9
"439";"Portugal";1999;61074,6
"440";"Portugal";2000;64640,5
"441";"Portugal";2001;72554,2
"442";"Portugal";2002;80133,6
"443";"Portugal";2003;85726,1
"444";"Portugal";2004;94454,1
"445";"Portugal";2005;106919,5
"446";"Portugal";2006;115002,2
"447";"Portugal";2007;120088,5
"448";"Portugal";2008;128191,4
"449";"Portugal";2009;146691,3
"450";"Portugal";2010;173062,5
"451";"Portugal";2011;196231,4
"452";"Portugal";2012;212556
"453";"Portugal";2013;219714,8
"454";"Portugal";2014;226040,5
"455";"Portugal";2015;231512,6
"456";"Portugal";2016;240962,6
"457";"Portugal";2017;242804,8
"458";"Portugal";2018;244905,7
"459";"Romania";1998;4852,1
"460";"Romania";1999;6527,4
"461";"Romania";2000;7532,8
"462";"Romania";2001;10917,2
"463";"Romania";2002;10757,1
"464";"Romania";2003;10309,5
"465";"Romania";2004;11768,7
"466";"Romania";2005;12397,6
"467";"Romania";2006;12585,6
"468";"Romania";2007;14123,8
"469";"Romania";2008;16610,2
"470";"Romania";2009;27435,6
"471";"Romania";2010;36933,5
"472";"Romania";2011;44187,4
"473";"Romania";2012;49445,7
"474";"Romania";2013;53429,3
"475";"Romania";2014;58489,2
"476";"Romania";2015;59494,1
"477";"Romania";2016;62911
"478";"Romania";2017;64647,1
"479";"Romania";2018;70772,4
"480";"Slovenia";1998;4428,9
"481";"Slovenia";1999;4921
"482";"Slovenia";2000;5483,6
"483";"Slovenia";2001;6035,5
"484";"Slovenia";2002;6707,8
"485";"Slovenia";2003;6941,5
"486";"Slovenia";2004;7425,4
"487";"Slovenia";2005;7687,3
"488";"Slovenia";2006;8204,4
"489";"Slovenia";2007;8025,1
"490";"Slovenia";2008;8274,5
"491";"Slovenia";2009;12527,1
"492";"Slovenia";2010;13907,4
"493";"Slovenia";2011;17203,6
"494";"Slovenia";2012;19404
"495";"Slovenia";2013;25504,9
"496";"Slovenia";2014;30219,9
"497";"Slovenia";2015;32087,4
"498";"Slovenia";2016;31753,4
"499";"Slovenia";2017;31859,1
"500";"Slovenia";2018;32231,8
"501";"Slovakia";1998;6295
"502";"Slovakia";1999;9549
"503";"Slovakia";2000;10753,4
"504";"Slovakia";2001;11665,7
"505";"Slovakia";2002;11604,2
"506";"Slovakia";2003;12600,3
"507";"Slovakia";2004;14567,6
"508";"Slovakia";2005;13680,1
"509";"Slovakia";2006;15249,4
"510";"Slovakia";2007;17026
"511";"Slovakia";2008;19493,7
"512";"Slovakia";2009;23236,8
"513";"Slovakia";2010;27842,3
"514";"Slovakia";2011;30846,9
"515";"Slovakia";2012;37925,7
"516";"Slovakia";2013;40600
"517";"Slovakia";2014;40725
"518";"Slovakia";2015;41295
"519";"Slovakia";2016;42053,2
"520";"Slovakia";2017;43231,1
"521";"Slovakia";2018;44144,5
"522";"Finland";1998;56414,1
"523";"Finland";1999;55912,4
"524";"Finland";2000;57926,2
"525";"Finland";2001;59186,6
"526";"Finland";2002;59661
"527";"Finland";2003;64870
"528";"Finland";2004;67697
"529";"Finland";2005;65759
"530";"Finland";2006;65894
"531";"Finland";2007;63425
"532";"Finland";2008;63254
"533";"Finland";2009;75482
"534";"Finland";2010;88160
"535";"Finland";2011;95490
"536";"Finland";2012;107708
"537";"Finland";2013;114801
"538";"Finland";2014;123696
"539";"Finland";2015;133206
"540";"Finland";2016;136150
"541";"Finland";2017;137278
"542";"Finland";2018;137545
"543";"Sweden";1998;149367,2
"544";"Sweden";1999;160120,5
"545";"Sweden";2000;136966,8
"546";"Sweden";2001;139337,7
"547";"Sweden";2002;141280,9
"548";"Sweden";2003;146703
"549";"Sweden";2004;152093,1
"550";"Sweden";2005;152253,7
"551";"Sweden";2006;150781,6
"552";"Sweden";2007;137069,5
"553";"Sweden";2008;117751,1
"554";"Sweden";2009;132770,2
"555";"Sweden";2010;151726,6
"556";"Sweden";2011;155395,3
"557";"Sweden";2012;163555,4
"558";"Sweden";2013;173293
"559";"Sweden";2014;190740,3
"560";"Sweden";2015;202004,9
"561";"Sweden";2016;194479
"562";"Sweden";2017;189873,4
"563";"Sweden";2018;181289,7
"564";"United Kingdom";1998;578653,6
"565";"United Kingdom";1999;660659,5
"566";"United Kingdom";2000;645942,9
"567";"United Kingdom";2001;637004,1
"568";"United Kingdom";2002;625646,4
"569";"United Kingdom";2003;632116,9
"570";"United Kingdom";2004;718656,8
"571";"United Kingdom";2005;806349,1
"572";"United Kingdom";2006;888713,3
"573";"United Kingdom";2007;877421,4
"574";"United Kingdom";2008;824108,1
"575";"United Kingdom";2009;1103250,7
"576";"United Kingdom";2010;1387555
"577";"United Kingdom";2011;1590780,5
"578";"United Kingdom";2012;1745862
"579";"United Kingdom";2013;1798955,3
"580";"United Kingdom";2014;2060326
"581";"United Kingdom";2015;2269880,7
"582";"United Kingdom";2016;2022228,9
"583";"United Kingdom";2017;2013084,6
"584";"United Kingdom";2018;2054184,9
